pic_id,sample_size,test_param,param_value,p_value,obs_plot_location,pic_name,experiment,difficulty,data_name
9931,NA,jttp,data,NA,2,Lineup-Images/senate/ForExperiment10-15/svgs/file23c3125e678.svg,turk22,NA,jttp_gof_9_1.csv
9932,NA,jttp,data,NA,4,Lineup-Images/senate/ForExperiment10-15/svgs/file23c10682062.svg,turk22,NA,jttp_gof_9_2.csv
9933,NA,jttp,data,NA,1,Lineup-Images/senate/ForExperiment10-15/svgs/file23c336a4b8d.svg,turk22,NA,jttp_gof_9_3.csv
9941,NA,jtts,data,NA,3,Lineup-Images/senate/ForExperiment10-15/svgs/file23c5f40e48f.svg,turk22,NA,jtts_gof_9_1.csv
9942,NA,jtts,data,NA,2,Lineup-Images/senate/ForExperiment10-15/svgs/file23c562755d7.svg,turk22,NA,jtts_gof_9_2.csv
9943,NA,jtts,data,NA,6,Lineup-Images/senate/ForExperiment10-15/svgs/file23c900d7fb.svg,turk22,NA,jtts_gof_9_3.csv
9951,NA,simttb,data,NA,2,Lineup-Images/senate/ForExperiment10-15/svgs/file23c5766b3e7.svg,turk22,NA,simttb_gof_9_1.csv
9952,NA,simttb,data,NA,3,Lineup-Images/senate/ForExperiment10-15/svgs/file23c57b180f3.svg,turk22,NA,simttb_gof_9_2.csv
9953,NA,simttb,data,NA,3,Lineup-Images/senate/ForExperiment10-15/svgs/file23c173203a2.svg,turk22,NA,simttb_gof_9_3.csv
9971,NA,bigmod,data,NA,2,Lineup-Images/senate/ForExperiment10-15/svgs/file23c5ffb4a66.svg,turk22,NA,bigmod_gof_9_1.csv
9972,NA,bigmod,data,NA,4,Lineup-Images/senate/ForExperiment10-15/svgs/file23c68da9ce8.svg,turk22,NA,bigmod_gof_9_2.csv
9973,NA,bigmod,data,NA,6,Lineup-Images/senate/ForExperiment10-15/svgs/file23c2357fc42.svg,turk22,NA,bigmod_gof_9_3.csv
