"pic_id","sample_size","test_param","param_value","p_value","obs_plot_location","pic_name","experiment","difficulty","data_name","trial"
7,3,"turk16-trend","k-3-sdline-0.25-sdgroup-0.35","line-0.85476-cluster-0.84736","12, 17","5073bc47f70bbd4d432bbe9ce9d6e382.svg","turk16",176,"set-7-k-3-sdline-0.25-sdgroup-0.35",0
7,3,"turk16-trendError","k-3-sdline-0.25-sdgroup-0.35","line-0.85476-cluster-0.84736","12, 17","7590e5c4d2b3a26b63381086cb80911e.svg","turk16",177,"set-7-k-3-sdline-0.25-sdgroup-0.35",0
7,3,"turk16-colorTrend","k-3-sdline-0.25-sdgroup-0.35","line-0.85476-cluster-0.84736","12, 17","b2b2838b0f4517c8ade0371d88daa985.svg","turk16",178,"set-7-k-3-sdline-0.25-sdgroup-0.35",0
7,3,"turk16-colorEllipseTrendError","k-3-sdline-0.25-sdgroup-0.35","line-0.85476-cluster-0.84736","12, 17","5b08560b31feb563a3015835ecd5cb24.svg","turk16",179,"set-7-k-3-sdline-0.25-sdgroup-0.35",0
8,3,"turk16-plain","k-3-sdline-0.25-sdgroup-0.35","line-0.85811-cluster-0.83348","15, 1","b14335afb17568db0c5ceefa26caf3b3.svg","turk16",170,"set-8-k-3-sdline-0.25-sdgroup-0.35",0
8,3,"turk16-color","k-3-sdline-0.25-sdgroup-0.35","line-0.85811-cluster-0.83348","15, 1","114da4bf5be9237b23a804943df1f729.svg","turk16",171,"set-8-k-3-sdline-0.25-sdgroup-0.35",0
8,3,"turk16-shape","k-3-sdline-0.25-sdgroup-0.35","line-0.85811-cluster-0.83348","15, 1","224ee39d05b7ebb8b2db04b9feecd892.svg","turk16",172,"set-8-k-3-sdline-0.25-sdgroup-0.35",0
8,3,"turk16-colorShape","k-3-sdline-0.25-sdgroup-0.35","line-0.85811-cluster-0.83348","15, 1","f9f89fe6ea1cef854fc3aa1003c2497b.svg","turk16",173,"set-8-k-3-sdline-0.25-sdgroup-0.35",0
8,3,"turk16-colorEllipse","k-3-sdline-0.25-sdgroup-0.35","line-0.85811-cluster-0.83348","15, 1","bc50c6a22b7365e8e8ad873835a31a92.svg","turk16",174,"set-8-k-3-sdline-0.25-sdgroup-0.35",0
8,3,"turk16-colorShapeEllipse","k-3-sdline-0.25-sdgroup-0.35","line-0.85811-cluster-0.83348","15, 1","fba5936e7b1b4eac81d0d9754826e235.svg","turk16",175,"set-8-k-3-sdline-0.25-sdgroup-0.35",0
8,3,"turk16-trend","k-3-sdline-0.25-sdgroup-0.35","line-0.85811-cluster-0.83348","15, 1","e5a8cac6e540068072c1049bf061c4e2.svg","turk16",176,"set-8-k-3-sdline-0.25-sdgroup-0.35",0
8,3,"turk16-trendError","k-3-sdline-0.25-sdgroup-0.35","line-0.85811-cluster-0.83348","15, 1","1119e8422815488df25c954274929475.svg","turk16",177,"set-8-k-3-sdline-0.25-sdgroup-0.35",0
