"pic_id","sample_size","test_param","param_value","p_value","obs_plot_location","pic_name","experiment","difficulty","data_name","trial"
213,3,"turk16-shape","k-3-sdline-0.45-sdgroup-0.30","line-0.59653-cluster-0.89774","11, 17","1f0e8e64a2587af80c2984148ef56600.svg","turk16",162,"set-22-k-3-sdline-0.45-sdgroup-0.30",0
214,3,"turk16-colorShape","k-3-sdline-0.45-sdgroup-0.30","line-0.59653-cluster-0.89774","11, 17","2f60173b76659bb4315ec0dd1b50b7cf.svg","turk16",163,"set-22-k-3-sdline-0.45-sdgroup-0.30",0
215,3,"turk16-colorEllipse","k-3-sdline-0.45-sdgroup-0.30","line-0.59653-cluster-0.89774","11, 17","1b4491b66980539a3d929485874ac41a.svg","turk16",164,"set-22-k-3-sdline-0.45-sdgroup-0.30",0
216,3,"turk16-colorShapeEllipse","k-3-sdline-0.45-sdgroup-0.30","line-0.59653-cluster-0.89774","11, 17","fc967522c525a9f49b26dee713028f8b.svg","turk16",165,"set-22-k-3-sdline-0.45-sdgroup-0.30",0
217,3,"turk16-trend","k-3-sdline-0.45-sdgroup-0.30","line-0.59653-cluster-0.89774","11, 17","0076ac6d078efb6edaa5f35a159ffb85.svg","turk16",166,"set-22-k-3-sdline-0.45-sdgroup-0.30",0
218,3,"turk16-trendError","k-3-sdline-0.45-sdgroup-0.30","line-0.59653-cluster-0.89774","11, 17","1797a802c35ab7faaf9b51a07f32f7e9.svg","turk16",167,"set-22-k-3-sdline-0.45-sdgroup-0.30",0
219,3,"turk16-colorTrend","k-3-sdline-0.45-sdgroup-0.30","line-0.59653-cluster-0.89774","11, 17","88516fef8f5ae397a81095854c6773ae.svg","turk16",168,"set-22-k-3-sdline-0.45-sdgroup-0.30",0
220,3,"turk16-colorEllipseTrendError","k-3-sdline-0.45-sdgroup-0.30","line-0.59653-cluster-0.89774","11, 17","ab64bc179ecf06467fc89ba965fd0479.svg","turk16",169,"set-22-k-3-sdline-0.45-sdgroup-0.30",0
221,3,"turk16-plain","k-3-sdline-0.45-sdgroup-0.30","line-0.62110-cluster-0.89470","6, 1","626245137ba49b63af5da64ad002e192.svg","turk16",160,"set-23-k-3-sdline-0.45-sdgroup-0.30",0
222,3,"turk16-color","k-3-sdline-0.45-sdgroup-0.30","line-0.62110-cluster-0.89470","6, 1","d0bf81169e7fb87261f148961949664b.svg","turk16",161,"set-23-k-3-sdline-0.45-sdgroup-0.30",0
223,3,"turk16-shape","k-3-sdline-0.45-sdgroup-0.30","line-0.62110-cluster-0.89470","6, 1","899bc5bfa2b8831f2cf3bf99f5830fc4.svg","turk16",162,"set-23-k-3-sdline-0.45-sdgroup-0.30",0
224,3,"turk16-colorShape","k-3-sdline-0.45-sdgroup-0.30","line-0.62110-cluster-0.89470","6, 1","72af0f69d59f39d6b36e6a2314542423.svg","turk16",163,"set-23-k-3-sdline-0.45-sdgroup-0.30",0
225,3,"turk16-colorEllipse","k-3-sdline-0.45-sdgroup-0.30","line-0.62110-cluster-0.89470","6, 1","181e956012f66ec25aa092d1887d899c.svg","turk16",164,"set-23-k-3-sdline-0.45-sdgroup-0.30",0
226,3,"turk16-colorShapeEllipse","k-3-sdline-0.45-sdgroup-0.30","line-0.62110-cluster-0.89470","6, 1","fdd6564fb5937b4238c49d5c65fa935d.svg","turk16",165,"set-23-k-3-sdline-0.45-sdgroup-0.30",0
227,3,"turk16-trend","k-3-sdline-0.45-sdgroup-0.30","line-0.62110-cluster-0.89470","6, 1","886af02d516baf0d5dbb448cbc43e9bb.svg","turk16",166,"set-23-k-3-sdline-0.45-sdgroup-0.30",0
228,3,"turk16-trendError","k-3-sdline-0.45-sdgroup-0.30","line-0.62110-cluster-0.89470","6, 1","60a8307a0e42ba4dd2f3f62a28e397b5.svg","turk16",167,"set-23-k-3-sdline-0.45-sdgroup-0.30",0
229,3,"turk16-colorTrend","k-3-sdline-0.45-sdgroup-0.30","line-0.62110-cluster-0.89470","6, 1","458c3da81f4eb6eb4d69adce1f796b81.svg","turk16",168,"set-23-k-3-sdline-0.45-sdgroup-0.30",0
230,3,"turk16-colorEllipseTrendError","k-3-sdline-0.45-sdgroup-0.30","line-0.62110-cluster-0.89470","6, 1","44bdcda837d9cab18a2793e3d6e4f650.svg","turk16",169,"set-23-k-3-sdline-0.45-sdgroup-0.30",0
231,3,"turk16-plain","k-3-sdline-0.45-sdgroup-0.30","line-0.65094-cluster-0.88871","2, 3","450439a2d749e5c59643d51487029221.svg","turk16",160,"set-24-k-3-sdline-0.45-sdgroup-0.30",0
232,3,"turk16-color","k-3-sdline-0.45-sdgroup-0.30","line-0.65094-cluster-0.88871","2, 3","325967961a1ffd64c12503457bf5f9c9.svg","turk16",161,"set-24-k-3-sdline-0.45-sdgroup-0.30",0
233,3,"turk16-shape","k-3-sdline-0.45-sdgroup-0.30","line-0.65094-cluster-0.88871","2, 3","6e5668e08c915692f9f2a446e3c8e50f.svg","turk16",162,"set-24-k-3-sdline-0.45-sdgroup-0.30",0
234,3,"turk16-colorShape","k-3-sdline-0.45-sdgroup-0.30","line-0.65094-cluster-0.88871","2, 3","28f710d1cdf13e3fe30cd0f528cddc79.svg","turk16",163,"set-24-k-3-sdline-0.45-sdgroup-0.30",0
235,3,"turk16-colorEllipse","k-3-sdline-0.45-sdgroup-0.30","line-0.65094-cluster-0.88871","2, 3","338b70e1b303660a99144cfcc4039135.svg","turk16",164,"set-24-k-3-sdline-0.45-sdgroup-0.30",0
